origin_lat,origin_lng,dest_lat,dest_lng,dist
32.10524,118.95659,32.06737,118.9409,16136.0
32.14503580729167,118.88474527994788,32.15611,118.88443,1378.0
32.09241,118.91759,32.13145,118.88954,6728.0
32.130082,118.955796,32.123137,118.983755,4912.0
31.893874,118.823174,31.944337,118.809768,8699.0
32.09163,118.917435,32.108986,118.915456,3670.0
32.116542,118.922776,32.09986,118.81326,15763.0
32.126984,118.827656,32.09515,118.914771,13399.0
32.12268,118.876985,32.106199,118.886472,4830.0
32.08992335834921,118.91507512820512,32.12432,118.932084,5471.0
32.07793,118.92981,31.881906,118.811323,31643.0
32.104650762738274,118.91437878429208,32.090946,118.916153,2339.0
32.119404,118.878627,32.138368,118.878607,3821.0
32.115267,118.875475,32.135944,118.883888,3292.0
31.762733,118.861447,31.830378,118.833855,10017.0
31.872292,118.835874,31.880707,118.822092,3746.0
32.11504,118.76781,32.11593,118.81138,5362.0
32.17432700122498,118.7090556877146,32.070878,118.672726,15816.0
32.220189,118.739368,32.208721,118.729591,2507.0
32.0421584632155,118.77541085539887,32.029974,118.771312,1666.0
32.090028,118.797178,32.292099,119.317947,97699.0
32.173866,118.691618,32.15956,118.69765,2299.0
32.151214,118.704124,32.180534,118.710503,5267.0
32.027144,118.789749,32.04945,118.78779,3407.0
32.071703,118.647538,32.13529,118.75169,13505.0
32.038558,118.787051,32.049444,118.834582,6757.0
32.237795,118.744483,32.225848,118.742714,2435.0
32.188578,118.696379,32.175293,118.711436,3113.0
32.144289,118.754256,32.08593,118.796683,14222.0
32.15081,118.70426,32.143832,118.723034,4123.0
32.033014,118.799187,32.040127,118.808719,2155.0
32.075191,118.767153,32.060079,118.75423,3095.0
32.174,118.68978,32.18828,118.71335,3499.0
32.115862,118.791553,32.064942,118.755801,8986.0
32.053213,118.752015,32.042353,118.774713,4414.0
32.085491,118.79671,31.980856,118.764432,18115.0
32.026944,118.774934,32.043694,118.791039,3722.0
32.15383,118.71821,32.226892,118.755085,11018.0
32.145789,118.702617,32.157546,118.696265,1955.0
32.041838,118.783568,32.034201,118.78711,1305.0
32.050091,118.785682,32.03914,118.78292,1884.0
